id,vesselName,vhash,companyName,chash,platformName,phash,voyageCount,multi
1,HAVILA AURORA,733882495,TOTAL,80012068,ELGIN,66057637,3,0
2,SKANDI BARRA,954942860,TOTAL,80012068,ELGIN,66057637,3,0
3,BOURBON MONSOON,-376771394,BP,2126,MARNOCK-SKUA (cond),-1044193739,3,0
4,BOURBON MONSOON,-376771394,BP,2126,MONAN,73541657,3,0
5,HAVILA COMMANDER,307948441,TOTAL,80012068,ELGIN,66057637,3,0
6,CALEDONIAN VIGILANCE,-520127344,BP,2126,MONAN,73541657,2,1
7,HAVILA AURORA,733882495,TOTAL,80012068,ELGIN,66057637,3,0
8,BOURBON MONSOON,-376771394,BP,2126,MARNOCK-SKUA (cond),-1044193739,3,0
9,HAVILA COMMANDER,307948441,TOTAL,80012068,ELGIN,66057637,3,0
10,HIGHLAND GUARDIAN,-724772412,SHELL,78865936,GANNET A,-949074902,2,0
11,OLYMPIC ORION,683276894,BP,2126,MONAN,73541657,1,0
12,SKANDI CAPTAIN,-537194322,CENTRICA,-69415299,CHESTNUT,-1960392468,3,1
13,ISLAND CHALLENGER,-1182779558,BP,2126,MARNOCK-SKUA (cond),-1044193739,3,0
14,ISLAND CHALLENGER,-1182779558,BP,2126,MONAN,73541657,3,0
15,NAO FIGHTER,422087033,CONOCOPHILLIPS,-1970780364,ENOCHDHU,-1468536634,1,0
16,BOURBON MONSOON,-376771394,BP,2126,MARNOCK-SKUA (cond),-1044193739,3,0
17,BOURBON MONSOON,-376771394,BP,2126,MONAN,73541657,3,0
18,HAVILA AURORA,733882495,TOTAL,80012068,ELGIN,66057637,3,0
19,E.R.GEORGINA,1421937723,CONOCOPHILLIPS,-1970780364,ENOCHDHU,-1468536634,1,0
20,ISLAND CHALLENGER,-1182779558,BP,2126,MIRREN,-2020581755,2,0
21,ISLAND CHALLENGER,-1182779558,BP,2126,MONAN,73541657,2,0
22,SKANDI BARRA,954942860,TOTAL,80012068,ELGIN,66057637,2,0
23,EDDA FERD,205022069,SHELL,78865936,GANNET A,-949074902,3,0
24,KL BARENTSFJORD,-987916959,APACHE,1936779598,BRIMMOND,985634380,1,0
25,NAO FIGHTER,422087033,CONOCOPHILLIPS,-1970780364,ENOCHDHU,-1468536634,1,0
26,NAO PROTECTOR,-1650802002,BG,2117,EVEREST,-658413688,2,0
27,NAO PROTECTOR,-1650802002,BG,2117,SEYMOUR,-1586628474,2,0
28,HAVILA COMMANDER,307948441,TOTAL,80012068,ELGIN,66057637,3,0
29,HAVILA AURORA,733882495,TOTAL,80012068,ELGIN,66057637,3,0
30,GRAMPIAN TALISKER,-368127310,BP,2126,MIRREN,-2020581755,2,0
31,GRAMPIAN TALISKER,-368127310,BP,2126,MONAN,73541657,2,0
32,BOURBON MONSOON,-376771394,BP,2126,MARNOCK-SKUA (cond),-1044193739,2,0
33,CALEDONIAN VIGILANCE,-520127344,BP,2126,MONAN,73541657,4,1
34,ISLAND CHALLENGER,-1182779558,BP,2126,MONAN,73541657,1,0
35,E.R.GEORGINA,1421937723,CONOCOPHILLIPS,-1970780364,ENOCHDHU,-1468536634,1,0
36,HIGHLAND GUARDIAN,-724772412,SHELL,78865936,GANNET A,-949074902,2,0
37,SKANDI BARRA,954942860,TOTAL,80012068,ELGIN,66057637,1,0
38,SKANDI FOULA,959056715,ENTERPRISE,-317644959,NELSON,-1995824163,5,1
39,SKANDI FOULA,959056715,TOTAL,80012068,ELGIN,66057637,5,1
40,HAVILA COMMANDER,307948441,TOTAL,80012068,ELGIN,66057637,3,0
41,BOURBON MONSOON,-376771394,BP,2126,MARNOCK-SKUA (cond),-1044193739,2,0
42,ISLAND CHALLENGER,-1182779558,BP,2126,MARNOCK-SKUA (cond),-1044193739,3,0
43,ISLAND CHALLENGER,-1182779558,BP,2126,MONAN,73541657,3,0
44,VOS PACE,-935599687,ANASURIA,-235474412,TEAL SOUTH,1851976425,2,0
45,VOS PACE,-935599687,ANASURIA,-235474412,TEAL,2570844,2,0
46,HAVILA AURORA,733882495,TOTAL,80012068,ELGIN,66057637,3,0
47,HIGHLAND GUARDIAN,-724772412,SHELL,78865936,GANNET A,-949074902,3,0
